timestamp,src_ip,dst_port,packet_len,prediction
14:08:51,162.159.198.2,61493,88,MALICIOUS
14:08:51,162.159.198.2,61493,409,BENIGN
14:08:51,192.168.1.5,500,88,BENIGN
14:08:51,162.159.198.2,61493,145,MALICIOUS
14:08:51,162.159.198.2,61493,145,MALICIOUS
14:08:51,192.168.1.5,500,88,BENIGN
14:08:51,192.168.1.5,500,210,BENIGN
14:08:51,162.159.198.2,61493,145,MALICIOUS
14:08:51,192.168.1.5,500,88,BENIGN
14:08:51,192.168.1.5,500,145,BENIGN
14:08:51,162.159.198.2,61493,145,MALICIOUS
14:08:51,192.168.1.5,500,88,BENIGN
14:08:51,192.168.1.5,500,145,BENIGN
14:08:51,162.159.198.2,61493,88,MALICIOUS
14:08:51,162.159.198.2,61493,88,MALICIOUS
14:08:51,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,125,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,125,BENIGN
14:08:52,192.168.1.5,0,74,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,0,74,MALICIOUS
14:08:52,162.159.198.2,61493,145,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,145,BENIGN
14:08:52,192.168.1.5,500,174,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,192.168.1.5,500,384,BENIGN
14:08:52,192.168.1.5,500,186,BENIGN
14:08:52,192.168.1.5,500,186,BENIGN
14:08:52,192.168.1.5,500,186,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,215,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,125,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,280,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,190,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,125,BENIGN
14:08:52,162.159.198.2,61493,145,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,145,BENIGN
14:08:52,192.168.1.5,500,125,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,533,BENIGN
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,193,BENIGN
14:08:52,192.168.1.5,500,193,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,902,BENIGN
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,160,BENIGN
14:08:52,192.168.1.5,500,186,BENIGN
14:08:52,192.168.1.5,500,1363,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,125,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,145,MALICIOUS
14:08:52,162.159.198.2,61493,145,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,192.168.1.5,500,210,BENIGN
14:08:52,162.159.198.2,61493,258,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,125,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,192.168.1.5,500,125,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:52,162.159.198.2,61493,125,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,173,MALICIOUS
14:08:52,192.168.1.5,500,88,BENIGN
14:08:52,162.159.198.2,61493,88,MALICIOUS
14:08:53,162.159.198.2,61493,369,BENIGN
14:08:53,192.168.1.5,500,88,BENIGN
14:08:53,192.168.1.5,500,125,BENIGN
14:08:53,162.159.198.2,61493,88,MALICIOUS
14:08:53,192.168.1.5,500,1363,BENIGN
14:08:53,162.159.198.2,61493,88,MALICIOUS
14:08:53,162.159.198.2,61493,175,MALICIOUS
14:08:53,192.168.1.5,500,88,BENIGN
